# gravity force, frame in punto, number of atoms (Nini = 80**3 = 25600)
1.5 231 28107
2.0 110 26513
2.5 86 26279
2.8 81 26216
3.5 70 26161
4.0 63 26024
5.0 46 25941
6.7 76 25854
10.0 22 25748
15.0 14 25686
